id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
612,suburb,central,11-100,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,all languages,all languages,no students,no students,11,4,0,4,3,2.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,1.75581395348837,2.5,0.39405684754522
613,city,central,100+,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,most or all students,most or all students,none,some languages,some languages,some languages,no students,few students,9.5,5,1,2,1.5,1.26614987080103,2.0594315245478,-0.143841515934539,-0.905254091300603,0.255813953488372,4,1.89405684754522
614,town,west,1-10,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,some students,no students,,,,,,,7,3,2,2,0,-1.23385012919897,0.0594315245478034,0.856158484065461,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
615,suburb,northeast,11-100,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,some languages,some languages,some students,some students,10,3,1,4,2,1.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,0.755813953488372,2.5,0.39405684754522
616,city,west,100+,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,all languages,all languages,no students,no students,9,3,0,4,2,0.766149870801034,0.0594315245478034,-1.14384151593454,1.0947459086994,0.755813953488372,2,-0.10594315245478
617,city,northeast,11-100,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,no students,10,4,1,3,2,1.76614987080103,1.0594315245478,-0.143841515934539,0.0947459086993971,0.755813953488372,3,0.89405684754522
618,town,west,11-100,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,few students,few students,none,none,none,none,no students,few students,2,1,0,1,0,-6.23385012919897,-1.9405684754522,-1.14384151593454,-1.9052540913006,-1.24418604651163,0.5,-1.60594315245478
619,suburb,northeast,100+,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,2,1,2,2,-1.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
620,town,central,1-10,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,4,4,0,0,0,-4.23385012919897,1.0594315245478,-1.14384151593454,-2.9052540913006,-1.24418604651163,3,0.89405684754522
621,suburb,northeast,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
622,city,central,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,some languages,some languages,no students,no students,10,5,2,2,1,1.76614987080103,2.0594315245478,0.856158484065461,-0.905254091300603,-0.244186046511628,3.5,1.39405684754522
623,suburb,west,100+,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no students,no students,some languages,none,all languages,all languages,no students,no students,16.5,6,4,4,2.5,8.26614987080103,3.0594315245478,2.85615848406546,1.0947459086994,1.25581395348837,4,1.89405684754522
624,town,southeast,11-100,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
625,city,west,11-100,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,some students,few students,all languages,all languages,all languages,all languages,some students,few students,15,5,2,4,4,6.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,2.75581395348837,4,1.89405684754522
626,rural,northeast,1-10,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
627,suburb,southeast,100+,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,some students,11,2,3,4,2,2.76614987080103,-0.940568475452197,1.85615848406546,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
628,rural,northeast,1-10,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,most or all students,,,,,,,8,2,2,4,0,-0.233850129198967,-0.940568475452197,0.856158484065461,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
629,suburb,west,11-100,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,few students,some students,none,none,some languages,some languages,no students,no students,14,4,5,4,1,5.76614987080103,1.0594315245478,3.85615848406546,1.0947459086994,-0.244186046511628,3,0.89405684754522
630,suburb,central,11-100,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,some students,some students,some languages,none,some languages,some languages,few students,few students,12.5,6,2,3,1.5,4.26614987080103,3.0594315245478,0.856158484065461,0.0947459086993971,0.255813953488372,4.5,2.39405684754522
631,suburb,northeast,1-10,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,no students,no students,12,4,0,4,4,3.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,2.75581395348837,2.5,0.39405684754522
632,town,southeast,100+,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
633,suburb,northeast,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,all languages,all languages,no students,no students,15,5,3,4,3,6.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,1.75581395348837,3.5,1.39405684754522
634,rural,west,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
635,city,west,100+,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,all languages,all languages,few students,some students,17,6,4,4,3,8.76614987080103,3.0594315245478,2.85615848406546,1.0947459086994,1.75581395348837,5,2.89405684754522
636,suburb,northeast,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,all languages,all languages,no students,no students,9,2,0,4,3,0.766149870801034,-0.940568475452197,-1.14384151593454,1.0947459086994,1.75581395348837,1.5,-0.60594315245478
637,suburb,northeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,all languages,some languages,no students,no students,7.5,1,0,4,2.5,-0.733850129198967,-1.9405684754522,-1.14384151593454,1.0947459086994,1.25581395348837,1,-1.10594315245478
638,suburb,southeast,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
639,suburb,west,1-10,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,few students,few students,,,,,,,10,4,2,4,0,1.76614987080103,1.0594315245478,0.856158484065461,1.0947459086994,-1.24418604651163,3,0.89405684754522
640,rural,southeast,100+,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,all languages,all languages,no students,few students,12.5,5,2,3,2.5,4.26614987080103,2.0594315245478,0.856158484065461,0.0947459086993971,1.25581395348837,3.5,1.39405684754522
641,city,southeast,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no students,some students,some languages,none,all languages,all languages,no students,some students,13.5,5,3,3,2.5,5.26614987080103,2.0594315245478,1.85615848406546,0.0947459086993971,1.25581395348837,3.5,1.39405684754522
642,rural,central,11-100,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
643,suburb,northeast,100+,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,some students,some students,some languages,some languages,some languages,some languages,no students,no students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,4,1.89405684754522
644,town,northeast,11-100,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,most or all students,some languages,some languages,all languages,some languages,no students,few students,12.5,4,2,4,2.5,4.26614987080103,1.0594315245478,0.856158484065461,1.0947459086994,1.25581395348837,3,0.89405684754522
645,city,west,100+,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,all languages,some languages,no students,few students,14.5,5,3,4,2.5,6.26614987080103,2.0594315245478,1.85615848406546,1.0947459086994,1.25581395348837,3.5,1.39405684754522
646,suburb,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,7,1,0,4,2,-1.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,0.755813953488372,0.5,-1.60594315245478
647,suburb,southeast,100+,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,no students,some students,some languages,none,some languages,some languages,no students,some students,10.5,4,2,3,1.5,2.26614987080103,1.0594315245478,0.856158484065461,0.0947459086993971,0.255813953488372,3,0.89405684754522
648,suburb,central,100+,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,all languages,all languages,no students,no students,11,4,1,4,2,2.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3,0.89405684754522
649,suburb,southeast,100+,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no students,few students,none,none,all languages,some languages,no students,no students,12.5,4,3,4,1.5,4.26614987080103,1.0594315245478,1.85615848406546,1.0947459086994,0.255813953488372,2.5,0.39405684754522
650,suburb,west,11-100,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,9,1,2,4,2,0.766149870801034,-1.9405684754522,0.856158484065461,1.0947459086994,0.755813953488372,1,-1.10594315245478
651,town,central,1-10,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,some students,some students,some languages,some languages,some languages,some languages,no students,no students,8,3,1,2,2,-0.233850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.755813953488372,2,-0.10594315245478
652,town,central,100+,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,some students,none,none,none,some languages,no students,no students,8.5,5,0,3,0.5,0.266149870801033,2.0594315245478,-1.14384151593454,0.0947459086993971,-0.744186046511628,3.5,1.39405684754522
653,town,central,1-10,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,none,none,some languages,some languages,no students,few students,4,3,0,0,1,-4.23385012919897,0.0594315245478034,-1.14384151593454,-2.9052540913006,-0.244186046511628,2,-0.10594315245478
654,suburb,central,100+,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,all languages,all languages,no students,some students,10,3,0,4,3,1.76614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,1.75581395348837,2,-0.10594315245478
655,rural,southeast,11-100,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,9,1,2,4,2,0.766149870801034,-1.9405684754522,0.856158484065461,1.0947459086994,0.755813953488372,0.5,-1.60594315245478
656,suburb,southeast,11-100,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,9,4,0,4,1,0.766149870801034,1.0594315245478,-1.14384151593454,1.0947459086994,-0.244186046511628,3.5,1.39405684754522
657,city,central,100+,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,none,some languages,some languages,few students,some students,15.5,6,4,4,1.5,7.26614987080103,3.0594315245478,2.85615848406546,1.0947459086994,0.255813953488372,4.5,2.39405684754522
658,suburb,central,1-10,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,few students,,,,,,,6,3,0,3,0,-2.23385012919897,0.0594315245478034,-1.14384151593454,0.0947459086993971,-1.24418604651163,2,-0.10594315245478
659,rural,northeast,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,3,0,2,1,-2.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
660,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,most or all students,few students,some languages,some languages,some languages,some languages,no students,few students,16,5,5,4,2,7.76614987080103,2.0594315245478,3.85615848406546,1.0947459086994,0.755813953488372,3.5,1.39405684754522
661,town,central,1-10,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,none,none,none,none,no students,no students,8,4,0,4,0,-0.233850129198967,1.0594315245478,-1.14384151593454,1.0947459086994,-1.24418604651163,3,0.89405684754522
662,suburb,southeast,1-10,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
663,town,southeast,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,some students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
664,city,west,100+,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,15,4,5,4,2,6.76614987080103,1.0594315245478,3.85615848406546,1.0947459086994,0.755813953488372,2.5,0.39405684754522
665,town,west,11-100,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,9,1,2,4,2,0.766149870801034,-1.9405684754522,0.856158484065461,1.0947459086994,0.755813953488372,1,-1.10594315245478
666,town,central,1-10,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
667,suburb,central,11-100,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,some languages,some languages,all languages,all languages,no students,no students,7,1,1,2,3,-1.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,1.75581395348837,0.5,-1.60594315245478
668,town,central,1-10,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,most or all students,no students,,,,,,,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
669,city,northeast,100+,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no students,most or all students,some languages,none,some languages,some languages,no students,some students,11.5,5,2,3,1.5,3.26614987080103,2.0594315245478,0.856158484065461,0.0947459086993971,0.255813953488372,4,1.89405684754522
670,suburb,central,100+,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,some students,most or all students,all languages,some languages,all languages,all languages,no students,few students,13.5,5,1,4,3.5,5.26614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,2.25581395348837,4,1.89405684754522
